EmptyCol,DateTime,Main_Owner,2nd_Owner,Load(KG),Bin_ID,Full(Y/N)
0,2024-09-24 13:55:24.056390,user1,user2,7.0,bin2,N
1,2024-09-24 14:01:11.856319,user1,user2,72.0,bin2,Y
2,2024-09-24 14:01:11.856319,user1,user2,23.0,bin2,N
3,2024-09-26 14:39:26.469847,user3,user4,30.0,bin2,N
4,2024-09-26 14:39:34.117084,user3,user4,81.0,bin2,Y
5,2024-09-26 14:39:38.232786,user3,user4,67.0,bin2,Y
6,2024-09-26 14:40:27.412965,user3,user4,4.0,bin2,N
7,2024-09-26 14:43:14.459636,user3,user4,30.0,bin2,N
8,2024-09-26 14:43:21.933196,user3,user4,95.0,bin2,Y
9,2024-09-26 14:55:05.992345,user3,user4,75.0,bin2,Y
10,2024-09-26 14:55:11.527020,user3,user4,51.0,bin2,N
11,2024-09-26 15:09:34.548793,user3,user4,95.0,bin2,Y
12,2024-09-27 14:33:37.186875,user1,user2,26.0,bin2,N
13,2024-09-27 14:33:40.344711,user1,user2,76.0,bin2,Y
14,2024-09-27 14:33:43.435377,user1,user2,5.0,bin2,N
15,2024-09-27 14:33:46.499000,user1,user2,70.0,bin2,Y
16,2024-09-27 14:33:49.568258,user1,user2,80.0,bin2,Y
17,2024-09-27 14:33:52.646419,user1,user2,66.0,bin2,Y
18,2024-09-27 14:33:55.722235,user1,user2,99.0,bin2,Y
19,2024-09-27 14:33:58.803721,user1,user2,64.0,bin2,Y
20,2024-09-27 14:34:01.881227,user1,user2,11.0,bin2,N
21,2024-09-27 14:34:04.953997,user1,user2,87.0,bin2,Y
22,2024-09-27 14:36:02.741479,user1,user2,79.0,bin2,Y
23,2024-09-27 14:36:05.981819,user1,user2,78.0,bin2,Y
24,2024-09-27 14:41:44.855739,user1,user2,76.0,bin2,Y
25,2024-09-27 14:41:44.988784,user1,user2,51.0,bin2,N
26,2024-09-27 14:41:45.049044,user1,user2,55.0,bin2,N
27,2024-09-27 14:41:45.110378,user1,user2,18.0,bin2,N
28,2024-09-27 14:41:45.170378,user1,user2,69.0,bin2,Y
29,2024-09-27 14:41:45.234422,user1,user2,86.0,bin2,Y
30,2024-09-27 14:41:45.294378,user1,user2,1.0,bin2,N
31,2024-09-27 14:41:45.370781,user1,user2,48.0,bin2,N
32,2024-09-27 14:41:45.428375,user1,user2,81.0,bin2,Y
33,2024-09-27 14:41:45.495373,user1,user2,71.0,bin2,Y
34,2024-09-27 14:41:45.555413,user1,user2,85.0,bin2,Y
35,2024-09-27 14:41:45.615723,user1,user2,4.0,bin2,N
36,2024-09-27 14:41:45.676715,user1,user2,60.0,bin2,N
37,2024-09-27 14:41:45.735716,user1,user2,29.0,bin2,N
38,2024-09-27 14:41:45.798716,user1,user2,82.0,bin2,Y
39,2024-09-27 14:41:45.866713,user1,user2,94.0,bin2,Y
40,2024-09-27 14:41:45.927712,user1,user2,45.0,bin2,N
41,2024-09-27 14:41:45.983423,user1,user2,46.0,bin2,N
42,2024-09-27 14:41:46.046434,user1,user2,32.0,bin2,N
43,2024-09-27 14:41:46.104578,user1,user2,63.0,bin2,Y
44,2024-09-27 14:41:46.162581,user1,user2,52.0,bin2,N
45,2024-09-27 14:41:46.220707,user1,user2,83.0,bin2,Y
46,2024-09-27 14:41:46.280730,user1,user2,44.0,bin2,N
47,2024-09-27 14:41:46.336758,user1,user2,17.0,bin2,N
48,2024-09-27 14:41:46.394722,user1,user2,44.0,bin2,N
49,2024-09-27 14:41:46.459920,user1,user2,81.0,bin2,Y
50,2024-09-27 14:41:46.518924,user1,user2,99.0,bin2,Y
51,2024-09-27 14:41:46.575926,user1,user2,58.0,bin2,N
52,2024-09-27 14:41:46.630919,user1,user2,26.0,bin2,N
53,2024-09-27 14:41:46.693000,user1,user2,15.0,bin2,N
54,2024-09-27 14:41:46.753008,user1,user2,5.0,bin2,N
55,2024-09-27 14:41:46.823293,user1,user2,97.0,bin2,Y
56,2024-09-27 14:41:46.878366,user1,user2,88.0,bin2,Y
57,2024-09-27 14:41:46.945428,user1,user2,8.0,bin2,N
58,2024-09-27 14:41:47.012483,user1,user2,71.0,bin2,Y
59,2024-09-27 14:41:47.071691,user1,user2,7.0,bin2,N
60,2024-09-27 14:41:47.134898,user1,user2,6.0,bin2,N
61,2024-09-27 14:41:47.199908,user1,user2,7.0,bin2,N
62,2024-09-27 14:41:47.257120,user1,user2,50.0,bin2,N
63,2024-09-27 14:41:47.315203,user1,user2,44.0,bin2,N
64,2024-09-27 14:41:47.379309,user1,user2,22.0,bin2,N
65,2024-09-27 14:41:47.441361,user1,user2,11.0,bin2,N
66,2024-09-27 14:41:47.500009,user1,user2,65.0,bin2,Y
67,2024-09-27 14:41:47.553006,user1,user2,96.0,bin2,Y
68,2024-09-27 14:41:47.612309,user1,user2,37.0,bin2,N
69,2024-09-27 14:41:47.667308,user1,user2,74.0,bin2,Y
70,2024-09-27 14:41:47.727315,user1,user2,40.0,bin2,N
71,2024-09-27 14:41:47.784313,user1,user2,35.0,bin2,N
72,2024-09-27 14:41:47.841664,user1,user2,76.0,bin2,Y
73,2024-09-27 14:41:47.897614,user1,user2,7.0,bin2,N
74,2024-09-27 14:41:47.960130,user1,user2,92.0,bin2,Y
75,2024-09-27 14:41:48.080952,user1,user2,19.0,bin2,N
76,2024-09-27 14:41:48.151128,user1,user2,3.0,bin2,N
77,2024-09-27 14:41:48.213140,user1,user2,93.0,bin2,Y
78,2024-09-27 14:41:48.276139,user1,user2,1.0,bin2,N
79,2024-09-27 14:41:48.333253,user1,user2,38.0,bin2,N
80,2024-09-27 14:41:48.387237,user1,user2,44.0,bin2,N
81,2024-09-27 14:41:48.464244,user1,user2,83.0,bin2,Y
82,2024-09-27 14:41:48.532244,user1,user2,6.0,bin2,N
83,2024-09-27 14:41:48.592245,user1,user2,75.0,bin2,Y
84,2024-09-27 14:41:48.649245,user1,user2,38.0,bin2,N
85,2024-09-27 14:41:48.712287,user1,user2,56.0,bin2,N
86,2024-09-27 14:41:48.770241,user1,user2,7.0,bin2,N
87,2024-09-27 14:41:48.827242,user1,user2,65.0,bin2,Y
88,2024-09-27 14:41:48.885238,user1,user2,53.0,bin2,N
89,2024-09-27 14:41:48.947529,user1,user2,8.0,bin2,N
90,2024-09-27 14:41:49.010535,user1,user2,16.0,bin2,N
91,2024-09-27 14:41:49.084577,user1,user2,3.0,bin2,N
92,2024-09-27 14:41:49.135583,user1,user2,67.0,bin2,Y
93,2024-09-27 14:41:49.196586,user1,user2,30.0,bin2,N
94,2024-09-27 14:41:49.254577,user1,user2,66.0,bin2,Y
95,2024-09-27 14:41:49.317585,user1,user2,45.0,bin2,N
96,2024-09-27 14:41:49.371584,user1,user2,66.0,bin2,Y
97,2024-09-27 14:41:49.434794,user1,user2,43.0,bin2,N
98,2024-09-27 14:41:49.489007,user1,user2,18.0,bin2,N
99,2024-09-27 14:41:49.550006,user1,user2,53.0,bin2,N
100,2024-09-27 14:41:49.610037,user1,user2,1.0,bin2,N
101,2024-09-27 14:41:49.669007,user1,user2,41.0,bin2,N
102,2024-09-27 14:41:49.732122,user1,user2,62.0,bin2,Y
103,2024-09-27 14:41:49.790154,user1,user2,73.0,bin2,Y
104,2024-09-27 14:41:49.844122,user1,user2,69.0,bin2,Y
105,2024-09-27 14:41:49.909111,user1,user2,78.0,bin2,Y
106,2024-09-27 14:41:49.965122,user1,user2,76.0,bin2,Y
107,2024-09-27 14:41:50.028121,user1,user2,47.0,bin2,N
108,2024-09-27 14:41:50.085123,user1,user2,80.0,bin2,Y
109,2024-09-27 14:41:50.145121,user1,user2,56.0,bin2,N
110,2024-09-27 14:41:50.220125,user1,user2,85.0,bin2,Y
111,2024-09-27 14:41:50.276120,user1,user2,73.0,bin2,Y
